lat,long,Category,Source,name,website,address,icon
41.9556271,-87.6736978,Innovation Center,Innovation Center,Abundant Venture Partners,http://www.abundantventurepartners.com/,4043 North Ravenswood Ave.,grn_stars
41.8822787,-87.6363838,Innovation Center,Innovation Center,"Adams Street Partners, LLC",http://www.adamsstreetpartners.com/index.html,One North Wacker Drive,grn_stars
41.8898658,-87.6214866,Innovation Center,Innovation Center,Anderson Pacific Corporation,http://andersonpacific.com/,NBC Tower,grn_stars
41.8830087,-87.6351499,Innovation Center,Innovation Center,Apex Venture Partners,http://www.apexvc.com/,225 West Washington Street,grn_stars
41.985371,-87.845028,Innovation Center,Innovation Center,ARCH Venture Partners,http://www.archventure.com/,8725 W. Higgins Rd.,grn_stars
41.880271,-87.634728,Innovation Center,Innovation Center,Baird Capital,http://www.bairdprivateequity.com/private-equity/baird-venture-partners.aspx,227 West Monroe Street,grn_stars
41.881543,-87.635605,Innovation Center,Innovation Center,Batterson Venture Capital,http://www.battersonvc.com/#&panel1-1,303 W Madison St,grn_stars
42.1601073,-87.8831986,Innovation Center,Innovation Center,Baxter Ventures,http://www.baxter.com/about_baxter/scientific_excellence/baxter_ventures/index.html,One Baxter Parkway,grn_stars
41.886379,-87.6235839,Innovation Center,Innovation Center,BlueCross BlueShield Venture Partners,http://www.bcbsvp.com/,225 N. Michigan Avenue,grn_stars
41.8788515,-87.6364782,Innovation Center,Innovation Center,Capital Strategy Management Company,http://capitalstrategymanagement.com/,233 South Wacker Drive,grn_stars
41.8846204,-87.6365384,Innovation Center,Innovation Center,CapX Partners,http://www.capxpartners.com/,155 N Wacker Dr.,grn_stars
40.6372267,-89.6621218,Innovation Center,Innovation Center,Central Illinois Angels ,http://www.centralillinoisangels.com/,4300 Entec Dr.,grn_stars
42.0458559,-87.6785751,Innovation Center,Innovation Center,Ceres Venture Fund,http://www.ceresventurefund.com/,500 Davis Street,grn_stars
41.881543,-87.635605,Innovation Center,Innovation Center,Chicago Growth Partners,http://cgp.com/,303 West Madison,grn_stars
42.114211,-87.878357,Innovation Center,Innovation Center,Cornerstone Angels,http://www.cornerstoneangels.com,2100 Sanders Road,grn_stars
42.114211,-87.878357,Innovation Center,Innovation Center,Independence Equity,http://www.independence-equity.com/,2100 Sanders Road,grn_stars
42.107965,-87.7736008,Innovation Center,Innovation Center,DFJ Portage,http://www.portageventures.com/,One Northfield Plaza,grn_stars
41.9252396,-87.9434386,Innovation Center,Innovation Center,Duchossois Technology Partners,http://www.duchtech.com/,845 Larch Avenue,grn_stars
41.8766109,-87.628992,Innovation Center,Innovation Center,Dunrath Capital,http://www.dunrath.com/index.asp,407 S. Dearborn St.,grn_stars
41.8883695,-87.6353645,Innovation Center,Innovation Center,Energy Foundry,http://energyfoundry.com/,222 W. Merchandise Mart,grn_stars
,,Innovation Center,Innovation Center,FireStarter,http://firestarterfund.com/,,grn_stars
41.8816418,-87.6365503,Innovation Center,Innovation Center,First Analysis,http://www.firstanalysis.com/,One South Wacker Drive,grn_stars
41.888113,-87.630755,Innovation Center,Innovation Center,Foley Ventures,http://www.foley.com/CatapultChicago/,321 North Clark Street,grn_stars
41.88484,-87.6428905,Innovation Center,Innovation Center,Gaebler Ventures,http://www.gaeblervc.com/,156 N. Jefferson Street,grn_stars
42.025115,-87.760051,Innovation Center,Innovation Center,Heartland Angels,http://www.heartlandangels.com/,5300 Galitz Street,grn_stars
41.8822584,-87.6371982,Innovation Center,Innovation Center,Hopewell Ventures,http://www.hopewellventures.com/,20 North Wacker Drive,grn_stars
41.7893998,-87.5963929,Innovation Center,Innovation Center,Hyde Park Angels,http://www.hydeparkangels.com/,Polsky Center for Entrepreneurship,grn_stars
41.8830087,-87.6351499,Innovation Center,Innovation Center,Hyde Park Venture Partners,http://www.hydeparkvp.com/,225 W Washington,grn_stars
41.8883695,-87.6353645,Innovation Center,Innovation Center,Chicago Ventures,http://www.chicagoventures.com/,222 Merchandise Mart Plaza,grn_stars
41.8822584,-87.6371982,Innovation Center,Innovation Center,IllinoisVENTURES,http://www.illinoisventures.com/,20 N. Wacker Drive ,grn_stars
41.8851542,-87.6223183,Innovation Center,Innovation Center,JK&B Capital,http://www.jkbcapital.com/,Two Prudential Plaza,grn_stars
42.184333,-87.8021629,Innovation Center,Innovation Center,"KB Partners, L.L.C.",http://www.kbpartners.com/,1780 Green Bay Road,grn_stars
42.143419,-87.7975869,Innovation Center,Innovation Center,Leo Capital Holdings,http://leocapholdings.com/,400 Skokie Blvd.,grn_stars
41.8969173,-87.6435474,Innovation Center,Innovation Center,Lightbank,http://lightbank.com/,600 West Chicago Avenue,grn_stars
41.901462,-87.637771,Innovation Center,Innovation Center,Merrick Ventures,http://www.merrickventures.com/,350 N. Orleans Street,grn_stars
42.1323611,-87.7877587,Innovation Center,Innovation Center,MK Capital,http://www.mkcapital.com/,1033 Skokie Blvd,grn_stars
42.0672988,-88.0485826,Innovation Center,Innovation Center,Motorola Solutions Venture Capital,http://www.motorolasolutions.com/US-EN/About/Company+Overview/Motorola+Solutions+Venture+Capital,1303 East Algonquin Road,grn_stars
,,Innovation Center,Innovation Center,New Enterprise Associates,http://www.nea.com/,,grn_stars
41.880469,-87.636437,Innovation Center,Innovation Center,Pritzker Group Venture Capital,http://www.pritzkergroup.com/venture-capital/,111 South Wacker Drive,grn_stars
41.8910249,-87.6323588,Innovation Center,Innovation Center,OCA Ventures,http://www.ocaventures.com/,505 N LaSalle Street,grn_stars
42.1323611,-87.7877587,Innovation Center,Innovation Center,Origin Ventures,http://www.originventures.com/,1033 Skokie Blvd.,grn_stars
42.1497087,-87.8165093,Innovation Center,Innovation Center,Paradigm Group II,http://www.paradigmventure.com/,1535 Lake Cook Rd.,grn_stars
41.885537,-87.624987,Innovation Center,Innovation Center,Polestar Capital Partners,http://www.polestarvc.com/,180 North Michigan Avenue,grn_stars
42.106326,-87.778972,Innovation Center,Innovation Center,Red Rocket Venture Partners,http://www.redrocketvc.com/,550 Woodland Ln. S.,grn_stars
41.8859776,-87.6566872,Innovation Center,Innovation Center,Sandbox Industries,http://www.sandboxindustries.com/,213 North Racine,grn_stars
41.8859776,-87.6566872,Innovation Center,Innovation Center,Cultivian Sandbox,http://www.sandboxindustries.com/about/cultivian-sandbox/,213 North Racine,grn_stars
,,Innovation Center,Innovation Center,ScaleWell,http://scalewell.com/,,grn_stars
41.8904448,-87.6246689,Innovation Center,Innovation Center,Second Century Ventures,http://www.secondcenturyventures.com,430 North Michigan Avenue,grn_stars
42.194904,-87.855155,Innovation Center,Innovation Center,Seneca Health Partners,http://www.senecapartners.com/,2201 Waukegan Road,grn_stars
,,Innovation Center,Innovation Center,Stateline Angels,http://www.statelineangels.com/,,grn_stars
,,Innovation Center,Innovation Center,Sustainable Local Food Investment Group,http://www.slofig.com/,,grn_stars
41.890345,-87.623333,Innovation Center,Innovation Center,Tribune Company,http://www.tribune.com/,435 North Michigan Avenue,grn_stars
,,Innovation Center,Innovation Center,Wildcat Angels,http://www.wildcatangels.com/,,grn_stars
40.093918,-88.2453098,Innovation Center,Innovation Center,Urbana-Champaign Angel Network,http://www.champaigncountyedc.org/business-services/small-business-services/angel-investing,1817 South Neil Street,grn_stars
,,Innovation Center,Innovation Center,Google Developers Startup Pack,https://docs.google.com/a/istcoalition.org/spreadsheet/viewform?formkey=dEhyN1ZtdkJWRlZMUEhjLUNtLWNJS2c6MA#gid=0,20 West Kinzie Street,grn_stars
42.4032967,-71.273513,Innovation Center,Innovation Center,Battery Ventures,http://www.battery.com/index.html,Reservoir Woods,grn_stars
39.932391,-86.162898,Innovation Center,Innovation Center,CID CapitalÎ¾,http://www.cidcap.com/pages/venture_overview.asp,201 W. 103rd Street,grn_stars
42.2814109,-83.7488929,Innovation Center,Innovation Center,Chrysalis Ventures,http://www.chrysalisventures.com/,115 West Huron Street,grn_stars
29.732679,-95.432611,Innovation Center,Innovation Center,DFJ Mercury,http://www.mercuryfund.com/,One Greenway Plaza,grn_stars
44.972935,-93.4662724,Innovation Center,Innovation Center,El Dorado Ventures,http://www.eldorado.com/,601 Carlson Parkway,grn_stars
39.1004856,-84.5097536,Innovation Center,Innovation Center,River Cities Capital,http://www.rccf.com/,221 East Fourth Street,grn_stars
42.283566,-83.748468,Innovation Center,Innovation Center,RPM Ventures,http://www.rpmvc.com/,320 N. Main St.,grn_stars
35.9927784,-78.9044725,Innovation Center,Innovation Center,Square 1 Bank,http://www.square1financial.com/vcs,406 Blackwell Street,grn_stars
41.870392,-87.6669749,Innovation Center,Innovation Center,Chicago Biomedical Consortium,http://chicagobiomedicalconsortium.org/index.php,"UIC - Molecular Biology Research Building, Room 4070",grn_stars
41.870392,-87.6669749,Innovation Center,Innovation Center,CBC Catalyst Award,http://chicagobiomedicalconsortium.org/grants/catalyst.php,"UIC - Molecular Biology Research Building, Room 4070",grn_stars
41.870392,-87.6669749,Innovation Center,Innovation Center,CBC Lever Award,http://chicagobiomedicalconsortium.org/grants/lever.php,"UIC - Molecular Biology Research Building, Room 4070",grn_stars
41.901353,-87.751197,Innovation Center,Innovation Center,Entrepreneurship Training Program,http://www.bethelnewlife.org/?page_id=4058,4950 W. Thomas,grn_stars
41.8883695,-87.6353645,Innovation Center,Innovation Center,1871,http://www.1871.com/,222 Merchandise Mart Plaza,grn_stars
41.887434,-87.677173,Innovation Center,Innovation Center,Industrial Council of Nearwest Chicago,http://industrialcouncil.com/,320 North Damen Avenue,grn_stars
41.887434,-87.677173,Innovation Center,Innovation Center,Fulton-Carroll Center Incubator,http://industrialcouncil.com/incubator,320 North Damen Avenue,grn_stars
40.6969219,-89.6167038,Innovation Center,Innovation Center,IMEC - Downstate,http://www.imec.org/,1501 W. Bradley Avenue,grn_stars
41.996518,-87.854628,Innovation Center,Innovation Center,IMEC - Chicago Region,http://www.imec.org/,1177 S. Dee Road,grn_stars
41.8648445,-87.8110162,Innovation Center,Innovation Center,The Joseph Center for Business Development,http://www.josephcenter.com/business/,7600 West Roosevelt Road,grn_stars
41.6826648,-88.1076534,Innovation Center,Innovation Center,Sivananthan Laboratories,http://www.sivananthanlabs.us/,590 Territorial Drive,grn_stars
41.8763668,-88.2558945,Innovation Center,Innovation Center,DuPage National Technology Park,http://www.iltechparks.com/DNTP_DUPAGE.aspx,Technology Blvd,grn_stars
41.889424,-87.65376,Innovation Center,Innovation Center,Enerspace,http://www.enerspacechicago.com/,412 North Carpenter Street,grn_stars
42.0290604,-87.7509265,Innovation Center,Innovation Center,Illinois Science + Technology Park,http://www.scienceparkillinois.com/,4901 Searle Parkway,grn_stars
41.894746,-87.636625,Innovation Center,Innovation Center,Panzanzee,http://www.panzanzee.com/,325 W. Huron St. ,grn_stars
41.8848719,-87.6214393,Innovation Center,Innovation Center,Small Business Membership,http://chicagolandchamber.org/wdk_cc/programs_and_advocacy/small_business_membership_new.jsp,Aon Center,grn_stars
40.093918,-88.2453098,Innovation Center,Innovation Center,Champaign County Economic Development Corporation,http://www.champaigncountyedc.org,1817 South Neil Street,grn_stars
40.700006,-89.605733,Innovation Center,Innovation Center,Peoria NEXT Innovation Center,http://www.bradley.edu/sites/pnic/,801 West Main Street,grn_stars
40.0911149,-88.2401544,Innovation Center,Innovation Center,Research Park,www.researchpark.illinois.edu,60 Hazelwood Drive,grn_stars
41.874212,-87.679231,Innovation Center,Innovation Center,Illinois Medical District,http://www.imdc.org/,2100 W Harrison Street,grn_stars
41.8723993,-87.6816138,Innovation Center,Innovation Center,The Chicago Technology Park,http://www.techpark.com/,2201 W. Campbell Park Drive,grn_stars
41.8723993,-87.6816138,Innovation Center,Innovation Center,UIC Incubator Laboratory Facility,http://tigger.uic.edu/depts/ovcr/research/techpark/index.html,2201 W. Campbell Park Dr.,grn_stars
41.8315799,-87.6280206,Innovation Center,Innovation Center,University Technology Park at IIT,http://www.universitytechnologypark.com/,3440 South Dearborn Street,grn_stars
37.702926,-89.2157219,Innovation Center,Innovation Center,The Southern Illinois Research Park,http://researchpark.siu.edu/,1740 Innovation Drive,grn_stars
38.7907212,-89.9894748,Innovation Center,Innovation Center,University Park,http://www.siue.edu/universitypark/,One North Research Drive,grn_stars
40.151523,-88.275935,Innovation Center,Innovation Center,Interstate Research Park,https://plus.google.com/105996443330952680694/about?gl=US&hl=en-US,3001 Research Rd,grn_stars
40.709278,-89.614915,Innovation Center,Innovation Center,National Center For Agricultural Utilization Research,http://www.ars.usda.gov/Main/docs.htm?docid=3153,1815 N. University Street,grn_stars
40.709278,-89.614915,Innovation Center,Innovation Center,NCAUR Pilot Plant,http://www.ars.usda.gov/Main/docs.htm?docid=12750,1815 N. University Street,grn_stars
