,,,,,,,,,latlong,Career Impact,Poverty Impact
41.831042,-87.656535,Innovation Center,Innovation Center,Project Onward,http://projectonward.org/,1200 W 35th Street, Cook County," Illinois""",41.831042-87.656535,0.169784752,0.314825991
41.784081,-87.612988,Innovation Center,Innovation Center,Sunshine Enterprises ,http://www.sunshinegospel.org/,500 E. 61st St., Cook County," Illinois""",41.784081-87.612988,0.133167393,0.614810205
41.810768,-87.660576,Innovation Center,Innovation Center,The Plant,http://www.plantchicago.com/,1400 W. 46th St., Cook County," Illinois""",41.810768-87.660576,0.207632335,0.210094378
41.886597,-87.67332,Innovation Center,Innovation Center,The Study Chicago,http://thestudychicago.org/,1837 W Fulton, Cook County," Illinois""",41.886597-87.67332,0.153169014,0.536091549
42.02708,-87.749399,Innovation Center,Innovation Center,Technology Innovation Center - Skokie,http://www.theincubator.com/,8025 Lamon Avenue, Cook County," Illinois""",42.02708-87.749399,0.174839228,0.182609861
41.886535,-87.62691,Innovation Center,Innovation Center,Treehouse ,http://www.treehouse.vc/,35 E Upper Wacker Dr , Cook County," Illinois""",41.886535-87.62691,0.036187298,0.09698613
41.794406,-87.619202,Innovation Center,Innovation Center,Washington Park Arts Incubator,https://arts.uchicago.edu/artsandpubliclife/ai,301 E Garfield Boulevard, Cook County," Illinois""",41.794406-87.619202,0.124064838,0.457605985
41.779397,-87.645529,Innovation Center,Innovation Center,Englewood BLUE Business Accelerator,http://www.blue1647.com/,815 W. 63rd Street, Cook County," Illinois""",41.779397-87.645529,0.202216066,0.567174515
41.886078,-87.649007,Innovation Center,Innovation Center,WeWork Chicago,https://www.wework.com/locations/chicago/west-loop,210 N Green Street, Cook County," Illinois""",41.886078-87.649007,0.041436464,0.119968429
41.903714,-87.630972,Innovation Center,Innovation Center,Assemble Chicago,http://www.assemblesharedoffice.com/locations/1165-n-clark-st-chicago/,1165 N Clark Street, Cook County," Illinois""",41.903714-87.630972,0.072205864,0.189988478
41.878185,-87.642904,Innovation Center,Innovation Center,Assemble Chicago,http://www.assemblesharedoffice.com/locations/600-w-jackson-chicago/,600 W Jackson , Cook County," Illinois""",41.878185-87.642904,0.014306499,0.198351115
42.085316,-87.697584,park,Google,,,, Cook County," Illinois""",42.085316-87.697584,0.01399009,0.018653454
42.0790371,-87.6858485,park,Google,,,, Cook County," Illinois""",42.0790371-87.6858485,0.01399009,0.018653454
42.080651,-87.68968,park,Google,,,, Cook County," Illinois""",42.080651-87.68968,0.01399009,0.018653454
42.080723,-87.689709,park,Google,,,, Cook County," Illinois""",42.080723-87.689709,0.01399009,0.018653454
42.078874,-87.687034,park,Google,,,, Cook County," Illinois""",42.078874-87.687034,0.01399009,0.018653454
42.078842,-87.685746,park,Google,,,, Cook County," Illinois""",42.078842-87.685746,0.01399009,0.018653454
42.05643,-87.673346,university,Google,,,, Cook County," Illinois""",42.05643-87.673346,0.004427129,0.059677705
42.056387,-87.673447,university,Google,,,, Cook County," Illinois""",42.056387-87.673447,0.004427129,0.059677705
42.058697,-87.670534,university,Google,,,, Cook County," Illinois""",42.058697-87.670534,0.004427129,0.059677705
42.069066,-87.683237,school,Google,,,, Cook County," Illinois""",42.069066-87.683237,0.013958388,0.036871214
42.070614,-87.683994,school,Google,,,, Cook County," Illinois""",42.070614-87.683994,0.033087413,0.031969595
42.06386,-87.675949,park,Google,,,, Cook County," Illinois""",42.06386-87.675949,0.013958388,0.036871214
42.064367,-87.676765,park,Google,,,, Cook County," Illinois""",42.064367-87.676765,0.013958388,0.036871214
42.065494,-87.676432,park,Google,,,, Cook County," Illinois""",42.065494-87.676432,0.013958388,0.036871214
42.062243,-87.678314,park,Google,,,, Cook County," Illinois""",42.062243-87.678314,0.013958388,0.036871214
42.0655556,-87.6762971,park,Google,,,, Cook County," Illinois""",42.0655556-87.6762971,0.013958388,0.036871214
42.065584,-87.679582,school,Google,,,, Cook County," Illinois""",42.065584-87.679582,0.013958388,0.036871214
42.061684,-87.674338,local_government_office,Google,,,, Cook County," Illinois""",42.061684-87.674338,0.013958388,0.036871214
42.061476,-87.677368,university,Google,,,, Cook County," Illinois""",42.061476-87.677368,0.013958388,0.036871214
42.059696,-87.675026,university,Google,,,, Cook County," Illinois""",42.059696-87.675026,0.004427129,0.059677705
42.057821,-87.677011,school,Google,,,, Cook County," Illinois""",42.057821-87.677011,0.004427129,0.059677705
42.057179,-87.674245,university,Google,,,, Cook County," Illinois""",42.057179-87.674245,0.004427129,0.059677705
42.061371,-87.678177,university,Google,,,, Cook County," Illinois""",42.061371-87.678177,0.013958388,0.036871214
42.060827,-87.678354,university,Google,,,, Cook County," Illinois""",42.060827-87.678354,0.013958388,0.036871214
42.059521,-87.67857,school,Google,,,, Cook County," Illinois""",42.059521-87.67857,0.013958388,0.036871214
42.057172,-87.678649,cafe,Google,,,, Cook County," Illinois""",42.057172-87.678649,0.013958388,0.036871214
42.058662,-87.678169,school,Google,,,, Cook County," Illinois""",42.058662-87.678169,0.013958388,0.036871214
42.065455,-87.68402,hospital,Google,,,, Cook County," Illinois""",42.065455-87.68402,0.013958388,0.036871214
42.0626508,-87.6855404,park,Google,,,, Cook County," Illinois""",42.0626508-87.6855404,0.041991981,0.454737286
42.062548,-87.685575,local_government_office,Google,,,, Cook County," Illinois""",42.062548-87.685575,0.041991981,0.454737286
42.062479,-87.685681,park,Google,,,, Cook County," Illinois""",42.062479-87.685681,0.041991981,0.454737286
42.06772,-87.6917016,park,Google,,,, Cook County," Illinois""",42.06772-87.6917016,0.013958388,0.036871214
42.064321,-87.686646,local_government_office,Google,,,, Cook County," Illinois""",42.064321-87.686646,0.013958388,0.036871214
42.0596863,-87.684154,park,Google,,,, Cook County," Illinois""",42.0596863-87.684154,0.041991981,0.454737286
42.062083,-87.683925,park,Google,,,, Cook County," Illinois""",42.062083-87.683925,0.041991981,0.454737286
42.061656,-87.68635,park,Google,,,, Cook County," Illinois""",42.061656-87.68635,0.041991981,0.454737286
42.062397,-87.684524,park,Google,,,, Cook County," Illinois""",42.062397-87.684524,0.041991981,0.454737286
42.05913,-87.682179,school,Google,,,, Cook County," Illinois""",42.05913-87.682179,0.041991981,0.454737286
42.058353,-87.683137,cafe,Google,,,, Cook County," Illinois""",42.058353-87.683137,0.041991981,0.454737286
42.058363,-87.683644,school,Google,,,, Cook County," Illinois""",42.058363-87.683644,0.041991981,0.454737286
42.058396,-87.683644,local_government_office,Google,,,, Cook County," Illinois""",42.058396-87.683644,0.041991981,0.454737286
42.059524,-87.68407,park,Google,,,, Cook County," Illinois""",42.059524-87.68407,0.041991981,0.454737286
42.058999,-87.684661,school,Google,,,, Cook County," Illinois""",42.058999-87.684661,0.041991981,0.454737286
42.058365,-87.68419,school,Google,,,, Cook County," Illinois""",42.058365-87.68419,0.041991981,0.454737286
42.0615844,-87.6863106,park,Google,,,, Cook County," Illinois""",42.0615844-87.6863106,0.041991981,0.454737286
42.052989,-87.673801,library,Google,,,, Cook County," Illinois""",42.052989-87.673801,0.004427129,0.059677705
42.053323,-87.672992,university,Google,,,, Cook County," Illinois""",42.053323-87.672992,0.004427129,0.059677705
42.050646,-87.671338,university,Google,,,, Cook County," Illinois""",42.050646-87.671338,0.035991251,0.220123285
42.052385,-87.671614,university,Google,,,, Cook County," Illinois""",42.052385-87.671614,0.004427129,0.059677705
42.051402,-87.673417,university,Google,,,, Cook County," Illinois""",42.051402-87.673417,0.004427129,0.059677705
42.0480426,-87.6739859,park,Google,,,, Cook County," Illinois""",42.0480426-87.6739859,0.035991251,0.220123285
42.044635,-87.672762,park,Google,,,, Cook County," Illinois""",42.044635-87.672762,0.035991251,0.220123285
42.048018,-87.673958,park,Google,,,, Cook County," Illinois""",42.048018-87.673958,0.035991251,0.220123285
42.047029,-87.672426,park,Google,,,, Cook County," Illinois""",42.047029-87.672426,0.035991251,0.220123285
42.045146,-87.673898,park,Google,,,, Cook County," Illinois""",42.045146-87.673898,0.035991251,0.220123285
42.045516,-87.672347,park,Google,,,, Cook County," Illinois""",42.045516-87.672347,0.035991251,0.220123285
42.040877,-87.669769,local_government_office,Google,,,, Cook County," Illinois""",42.040877-87.669769,0.020765737,0.052238806
42.039408,-87.669941,park,Google,,,, Cook County," Illinois""",42.039408-87.669941,0.020765737,0.052238806
42.0444588,-87.6725992,park,Google,,,, Cook County," Illinois""",42.0444588-87.6725992,0.035991251,0.220123285
42.0393036,-87.6699797,park,Google,,,, Cook County," Illinois""",42.0393036-87.6699797,0.020765737,0.052238806
42.056052,-87.675696,school,Google,,,, Cook County," Illinois""",42.056052-87.675696,0.004427129,0.059677705
42.0531923,-87.676515,park,Google,,,, Cook County," Illinois""",42.0531923-87.676515,0.004427129,0.059677705
42.054009,-87.676714,school,Google,,,, Cook County," Illinois""",42.054009-87.676714,0.004427129,0.059677705
42.053192,-87.676515,park,Google,,,, Cook County," Illinois""",42.053192-87.676515,0.004427129,0.059677705
42.055194,-87.681814,local_government_office,Google,,,, Cook County," Illinois""",42.055194-87.681814,0.041991981,0.454737286
42.056664,-87.681992,park,Google,,,, Cook County," Illinois""",42.056664-87.681992,0.041991981,0.454737286
42.053715,-87.677966,university,Google,,,, Cook County," Illinois""",42.053715-87.677966,0.004427129,0.059677705
42.054458,-87.680299,synagogue,Google,,,, Cook County," Illinois""",42.054458-87.680299,0.004427129,0.059677705
42.052196,-87.675113,university,Google,,,, Cook County," Illinois""",42.052196-87.675113,0.004427129,0.059677705
42.050609,-87.674989,university,Google,,,, Cook County," Illinois""",42.050609-87.674989,0.004427129,0.059677705
42.050493,-87.675649,library,Google,,,, Cook County," Illinois""",42.050493-87.675649,0.004427129,0.059677705
42.050633,-87.676142,school,Google,,,, Cook County," Illinois""",42.050633-87.676142,0.004427129,0.059677705
42.050971,-87.676656,university,Google,,,, Cook County," Illinois""",42.050971-87.676656,0.004427129,0.059677705
42.0474367,-87.6746023,park,Google,,,, Cook County," Illinois""",42.0474367-87.6746023,0.035991251,0.220123285
42.049361,-87.674976,university,Google,,,, Cook County," Illinois""",42.049361-87.674976,0.004427129,0.059677705
42.04944,-87.675853,school,Google,,,, Cook County," Illinois""",42.04944-87.675853,0.004427129,0.059677705
42.051408,-87.67762,university,Google,,,, Cook County," Illinois""",42.051408-87.67762,0.004427129,0.059677705
42.050194,-87.679394,university,Google,,,, Cook County," Illinois""",42.050194-87.679394,0.004427129,0.059677705
42.051705,-87.681586,cafe,Google,,,, Cook County," Illinois""",42.051705-87.681586,0.004427129,0.059677705
42.051245,-87.680136,university,Google,,,, Cook County," Illinois""",42.051245-87.680136,0.004427129,0.059677705
42.050288,-87.681751,university,Google,,,, Cook County," Illinois""",42.050288-87.681751,0.035991251,0.220123285
42.050201,-87.681413,park,Google,,,, Cook County," Illinois""",42.050201-87.681413,0.035991251,0.220123285
42.049629,-87.678685,hospital,Google,,,, Cook County," Illinois""",42.049629-87.678685,0.004427129,0.059677705
42.050101,-87.67987,university,Google,,,, Cook County," Illinois""",42.050101-87.67987,0.004427129,0.059677705
42.050068,-87.679772,university,Google,,,, Cook County," Illinois""",42.050068-87.679772,0.004427129,0.059677705
42.050013,-87.679863,university,Google,,,, Cook County," Illinois""",42.050013-87.679863,0.004427129,0.059677705
42.050107,-87.679889,university,Google,,,, Cook County," Illinois""",42.050107-87.679889,0.004427129,0.059677705
42.049287,-87.681626,cafe,Google,,,, Cook County," Illinois""",42.049287-87.681626,0.035991251,0.220123285
42.048397,-87.680072,library,Google,,,, Cook County," Illinois""",42.048397-87.680072,0.035991251,0.220123285
42.048078,-87.680606,university,Google,,,, Cook County," Illinois""",42.048078-87.680606,0.035991251,0.220123285
42.05554,-87.684978,park,Google,,,, Cook County," Illinois""",42.05554-87.684978,0.041991981,0.454737286
42.054201,-87.684164,school,Google,,,, Cook County," Illinois""",42.054201-87.684164,0.041991981,0.454737286
42.056997,-87.6887752,park,Google,,,, Cook County," Illinois""",42.056997-87.6887752,0.041991981,0.454737286
42.056725,-87.687238,local_government_office,Google,,,, Cook County," Illinois""",42.056725-87.687238,0.041991981,0.454737286
42.056887,-87.687158,local_government_office,Google,,,, Cook County," Illinois""",42.056887-87.687158,0.041991981,0.454737286
42.055827,-87.687021,local_government_office,Google,,,, Cook County," Illinois""",42.055827-87.687021,0.041991981,0.454737286
42.055944,-87.686826,local_government_office,Google,,,, Cook County," Illinois""",42.055944-87.686826,0.041991981,0.454737286
42.055816,-87.687401,local_government_office,Google,,,, Cook County," Illinois""",42.055816-87.687401,0.041991981,0.454737286
42.055816,-87.687401,local_government_office,Google,,,, Cook County," Illinois""",42.055816-87.687401,0.041991981,0.454737286
42.055816,-87.687401,local_government_office,Google,,,, Cook County," Illinois""",42.055816-87.687401,0.041991981,0.454737286
42.055816,-87.687401,local_government_office,Google,,,, Cook County," Illinois""",42.055816-87.687401,0.041991981,0.454737286
42.055816,-87.687401,local_government_office,Google,,,, Cook County," Illinois""",42.055816-87.687401,0.041991981,0.454737286
42.055816,-87.687401,local_government_office,Google,,,, Cook County," Illinois""",42.055816-87.687401,0.041991981,0.454737286
42.057028,-87.688641,park,Google,,,, Cook County," Illinois""",42.057028-87.688641,0.041991981,0.454737286
42.054149,-87.687153,park,Google,,,, Cook County," Illinois""",42.054149-87.687153,0.041991981,0.454737286
42.054811,-87.687866,local_government_office,Google,,,, Cook County," Illinois""",42.054811-87.687866,0.041991981,0.454737286
42.054934,-87.689415,local_government_office,Google,,,, Cook County," Illinois""",42.054934-87.689415,0.041991981,0.454737286
42.052231,-87.683007,school,Google,,,, Cook County," Illinois""",42.052231-87.683007,0.041991981,0.454737286
42.052214,-87.683046,school,Google,,,, Cook County," Illinois""",42.052214-87.683046,0.041991981,0.454737286
42.052204,-87.683047,school,Google,,,, Cook County," Illinois""",42.052204-87.683047,0.041991981,0.454737286
42.051105,-87.682205,university,Google,,,, Cook County," Illinois""",42.051105-87.682205,0.004427129,0.059677705
42.050964,-87.682644,school,Google,,,, Cook County," Illinois""",42.050964-87.682644,0.035991251,0.220123285
42.052662,-87.684505,university,Google,,,, Cook County," Illinois""",42.052662-87.684505,0.041991981,0.454737286
42.05116,-87.685274,university,Google,,,, Cook County," Illinois""",42.05116-87.685274,0.035991251,0.220123285
42.05116,-87.685274,university,Google,,,, Cook County," Illinois""",42.05116-87.685274,0.035991251,0.220123285
42.049569,-87.681983,cafe,Google,,,, Cook County," Illinois""",42.049569-87.681983,0.035991251,0.220123285
42.048387,-87.683006,local_government_office,Google,,,, Cook County," Illinois""",42.048387-87.683006,0.035991251,0.220123285
42.050252,-87.684561,university,Google,,,, Cook County," Illinois""",42.050252-87.684561,0.035991251,0.220123285
42.05238,-87.687075,local_government_office,Google,,,, Cook County," Illinois""",42.05238-87.687075,0.041991981,0.454737286
42.047354,-87.674732,park,Google,,,, Cook County," Illinois""",42.047354-87.674732,0.035991251,0.220123285
42.044186,-87.677647,park,Google,,,, Cook County," Illinois""",42.044186-87.677647,0.035991251,0.220123285
42.047386,-87.677973,school,Google,,,, Cook County," Illinois""",42.047386-87.677973,0.035991251,0.220123285
42.047431,-87.678875,cafe,Google,,,, Cook County," Illinois""",42.047431-87.678875,0.035991251,0.220123285
42.046154,-87.679141,cafe,Google,,,, Cook County," Illinois""",42.046154-87.679141,0.035991251,0.220123285
42.046331,-87.680509,school,Google,,,, Cook County," Illinois""",42.046331-87.680509,0.035991251,0.220123285
42.0444441,-87.6795325,park,Google,,,, Cook County," Illinois""",42.0444441-87.6795325,0.035991251,0.220123285
42.044441,-87.679594,park,Google,,,, Cook County," Illinois""",42.044441-87.679594,0.035991251,0.220123285
42.045413,-87.681314,school,Google,,,, Cook County," Illinois""",42.045413-87.681314,0.035991251,0.220123285
42.039772,-87.673502,park,Google,,,, Cook County," Illinois""",42.039772-87.673502,0.020765737,0.052238806
42.04183,-87.678346,park,Google,,,, Cook County," Illinois""",42.04183-87.678346,0.035991251,0.220123285
42.041598,-87.67826,school,Google,,,, Cook County," Illinois""",42.041598-87.67826,0.035991251,0.220123285
42.041419,-87.678114,school,Google,,,, Cook County," Illinois""",42.041419-87.678114,0.035991251,0.220123285
42.043052,-87.68042,school,Google,,,, Cook County," Illinois""",42.043052-87.68042,0.035991251,0.220123285
42.041108,-87.680314,cafe,Google,,,, Cook County," Illinois""",42.041108-87.680314,0.020765737,0.052238806
42.041092,-87.681222,school,Google,,,, Cook County," Illinois""",42.041092-87.681222,0.020765737,0.052238806
42.046783,-87.681967,cafe,Google,,,, Cook County," Illinois""",42.046783-87.681967,0.035991251,0.220123285
42.044533,-87.683643,local_government_office,Google,,,, Cook County," Illinois""",42.044533-87.683643,0.053236201,0.118240403
42.043883,-87.682121,park,Google,,,, Cook County," Illinois""",42.043883-87.682121,0.035991251,0.220123285
42.044016,-87.685156,school,Google,,,, Cook County," Illinois""",42.044016-87.685156,0.053236201,0.118240403
42.046638,-87.689399,school,Google,,,, Cook County," Illinois""",42.046638-87.689399,0.053236201,0.118240403
42.0458792,-87.6893913,park,Google,,,, Cook County," Illinois""",42.0458792-87.6893913,0.053236201,0.118240403
42.045936,-87.689324,park,Google,,,, Cook County," Illinois""",42.045936-87.689324,0.053236201,0.118240403
42.0438,-87.687154,park,Google,,,, Cook County," Illinois""",42.0438-87.687154,0.053236201,0.118240403
42.042598,-87.684094,university,Google,,,, Cook County," Illinois""",42.042598-87.684094,0.053236201,0.118240403
42.040688,-87.688322,synagogue,Google,,,, Cook County," Illinois""",42.040688-87.688322,0.106099935,0.120051914
42.039771,-87.686711,park,Google,,,, Cook County," Illinois""",42.039771-87.686711,0.106099935,0.120051914
42.036369,-87.669951,park,Google,,,, Cook County," Illinois""",42.036369-87.669951,0.020765737,0.052238806
42.0363689,-87.6701338,park,Google,,,, Cook County," Illinois""",42.0363689-87.6701338,0.020765737,0.052238806
42.0326577,-87.6701338,park,Google,,,, Cook County," Illinois""",42.0326577-87.6701338,0.031541067,0.138441998
42.032938,-87.669861,park,Google,,,, Cook County," Illinois""",42.032938-87.669861,0.031541067,0.138441998
42.029698,-87.669055,park,Google,,,, Cook County," Illinois""",42.029698-87.669055,0.031541067,0.138441998
42.028757,-87.673242,park,Google,,,, Cook County," Illinois""",42.028757-87.673242,0.031541067,0.138441998
42.02245,-87.665294,park,Google,,,, Cook County," Illinois""",42.02245-87.665294,0.141673244,0.291041831
42.021233,-87.664565,park,Google,,,, Cook County," Illinois""",42.021233-87.664565,0.141673244,0.291041831
42.01891,-87.664035,park,Google,,,, Cook County," Illinois""",42.01891-87.664035,0.144270404,0.22126958
42.027294,-87.668407,park,Google,,,, Cook County," Illinois""",42.027294-87.668407,0.031541067,0.138441998
42.021789,-87.666337,school,Google,,,, Cook County," Illinois""",42.021789-87.666337,0.141673244,0.291041831
42.0212524,-87.664432,park,Google,,,, Cook County," Illinois""",42.0212524-87.664432,0.141673244,0.291041831
42.0187713,-87.6641238,park,Google,,,, Cook County," Illinois""",42.0187713-87.6641238,0.144270404,0.22126958
42.021495,-87.673347,park,Google,,,, Cook County," Illinois""",42.021495-87.673347,0.141673244,0.291041831
42.020028,-87.670516,park,Google,,,, Cook County," Illinois""",42.020028-87.670516,0.141673244,0.291041831
42.0201398,-87.6705961,park,Google,,,, Cook County," Illinois""",42.0201398-87.6705961,0.141673244,0.291041831
42.021036,-87.671746,school,Google,,,, Cook County," Illinois""",42.021036-87.671746,0.141673244,0.291041831
42.021112,-87.671771,school,Google,,,, Cook County," Illinois""",42.021112-87.671771,0.141673244,0.291041831
42.021112,-87.671771,school,Google,,,, Cook County," Illinois""",42.021112-87.671771,0.141673244,0.291041831
42.020849,-87.671996,school,Google,,,, Cook County," Illinois""",42.020849-87.671996,0.141673244,0.291041831
42.020693,-87.672929,school,Google,,,, Cook County," Illinois""",42.020693-87.672929,0.141673244,0.291041831
42.019484,-87.672746,school,Google,,,, Cook County," Illinois""",42.019484-87.672746,0.141673244,0.291041831
42.034475,-87.675336,school,Google,,,, Cook County," Illinois""",42.034475-87.675336,0.020765737,0.052238806
42.034081,-87.674889,school,Google,,,, Cook County," Illinois""",42.034081-87.674889,0.020765737,0.052238806
42.035016,-87.679461,school,Google,,,, Cook County," Illinois""",42.035016-87.679461,0.020765737,0.052238806
42.033856,-87.6779,cafe,Google,,,, Cook County," Illinois""",42.033856-87.6779,0.031541067,0.138441998
42.034043,-87.678852,cafe,Google,,,, Cook County," Illinois""",42.034043-87.678852,0.020765737,0.052238806
42.029876,-87.676523,park,Google,,,, Cook County," Illinois""",42.029876-87.676523,0.031541067,0.138441998
42.032981,-87.679064,school,Google,,,, Cook County," Illinois""",42.032981-87.679064,0.031541067,0.138441998
42.032869,-87.680578,school,Google,,,, Cook County," Illinois""",42.032869-87.680578,0.060951546,0.07936856
42.032253,-87.681437,park,Google,,,, Cook County," Illinois""",42.032253-87.681437,0.060951546,0.07936856
42.031868,-87.680398,school,Google,,,, Cook County," Illinois""",42.031868-87.680398,0.060951546,0.07936856
42.031734,-87.680155,school,Google,,,, Cook County," Illinois""",42.031734-87.680155,0.060951546,0.07936856
42.029737,-87.681131,park,Google,,,, Cook County," Illinois""",42.029737-87.681131,0.060951546,0.07936856
42.037253,-87.683114,school,Google,,,, Cook County," Illinois""",42.037253-87.683114,0.106099935,0.120051914
42.036288,-87.682961,park,Google,,,, Cook County," Illinois""",42.036288-87.682961,0.106099935,0.120051914
42.037484,-87.682126,school,Google,,,, Cook County," Illinois""",42.037484-87.682126,0.106099935,0.120051914
42.034605,-87.68203,school,Google,,,, Cook County," Illinois""",42.034605-87.68203,0.106099935,0.120051914
42.033922,-87.683198,school,Google,,,, Cook County," Illinois""",42.033922-87.683198,0.060951546,0.07936856
42.033642,-87.683392,school,Google,,,, Cook County," Illinois""",42.033642-87.683392,0.060951546,0.07936856
42.033922,-87.683198,school,Google,,,, Cook County," Illinois""",42.033922-87.683198,0.060951546,0.07936856
42.0343694,-87.6860025,park,Google,,,, Cook County," Illinois""",42.0343694-87.6860025,0.106099935,0.120051914
42.036163,-87.6829217,park,Google,,,, Cook County," Illinois""",42.036163-87.6829217,0.106099935,0.120051914
42.034287,-87.686019,park,Google,,,, Cook County," Illinois""",42.034287-87.686019,0.106099935,0.120051914
42.035686,-87.686689,school,Google,,,, Cook County," Illinois""",42.035686-87.686689,0.106099935,0.120051914
42.028714,-87.684264,park,Google,,,, Cook County," Illinois""",42.028714-87.684264,0.060951546,0.07936856
42.030036,-87.684317,park,Google,,,, Cook County," Illinois""",42.030036-87.684317,0.060951546,0.07936856
42.032938,-87.686671,school,Google,,,, Cook County," Illinois""",42.032938-87.686671,0.060951546,0.07936856
42.032754,-87.68726,school,Google,,,, Cook County," Illinois""",42.032754-87.68726,0.060951546,0.07936856
42.032478,-87.688399,school,Google,,,, Cook County," Illinois""",42.032478-87.688399,0.060951546,0.07936856
42.032531,-87.687558,school,Google,,,, Cook County," Illinois""",42.032531-87.687558,0.060951546,0.07936856
42.030927,-87.689634,park,Google,,,, Cook County," Illinois""",42.030927-87.689634,0.060951546,0.07936856
42.028239,-87.677106,park,Google,,,, Cook County," Illinois""",42.028239-87.677106,0.031541067,0.138441998
42.01994,-87.673163,hospital,Google,,,, Cook County," Illinois""",42.01994-87.673163,0.141673244,0.291041831
42.019908,-87.673162,hospital,Google,,,, Cook County," Illinois""",42.019908-87.673162,0.141673244,0.291041831
42.02003,-87.677852,local_government_office,Google,,,, Cook County," Illinois""",42.02003-87.677852,0.076693052,0.149164468
42.026142,-87.686447,school,Google,,,, Cook County," Illinois""",42.026142-87.686447,0.076693052,0.149164468
42.028007,-87.684866,park,Google,,,, Cook County," Illinois""",42.028007-87.684866,0.060951546,0.07936856
42.024967,-87.683563,hospital,Google,,,, Cook County," Illinois""",42.024967-87.683563,0.076693052,0.149164468
42.023952,-87.685001,hospital,Google,,,, Cook County," Illinois""",42.023952-87.685001,0.076693052,0.149164468
42.019231,-87.689931,cafe,Google,,,, Cook County," Illinois""",42.019231-87.689931,0.121712099,0.305595409
42.00125,-87.65637,university,Google,,,, Cook County," Illinois""",42.00125-87.65637,0.081167448,0.14955262
41.998459,-87.655248,park,Google,,,, Cook County," Illinois""",41.998459-87.655248,0.081167448,0.14955262
42.000117,-87.656396,library,Google,,,, Cook County," Illinois""",42.000117-87.656396,0.081167448,0.14955262
41.9953766,-87.6548761,park,Google,,,, Cook County," Illinois""",41.9953766-87.6548761,0.137511693,0.197848457
41.996101,-87.655687,school,Google,,,, Cook County," Illinois""",41.996101-87.655687,0.137511693,0.197848457
41.995587,-87.65589,school,Google,,,, Cook County," Illinois""",41.995587-87.65589,0.137511693,0.197848457
41.994625,-87.655428,park,Google,,,, Cook County," Illinois""",41.994625-87.655428,0.137511693,0.197848457
41.995279,-87.654973,park,Google,,,, Cook County," Illinois""",41.995279-87.654973,0.137511693,0.197848457
41.993336,-87.655639,hospital,Google,,,, Cook County," Illinois""",41.993336-87.655639,0.177039665,0.190906159
41.990539,-87.654681,synagogue,Google,,,, Cook County," Illinois""",41.990539-87.654681,0.06848249,0.223346304
41.990539,-87.654681,synagogue,Google,,,, Cook County," Illinois""",41.990539-87.654681,0.06848249,0.223346304
41.990539,-87.654681,school,Google,,,, Cook County," Illinois""",41.990539-87.654681,0.06848249,0.223346304
41.990539,-87.654681,school,Google,,,, Cook County," Illinois""",41.990539-87.654681,0.06848249,0.223346304
41.9176144,-87.6309776,park,Google,,,, Cook County," Illinois""",41.9176144-87.6309776,0.027328299,0.083063646
41.989804,-87.655122,park,Google,,,, Cook County," Illinois""",41.989804-87.655122,0.147365099,0.254654465
41.9898118,-87.6551844,park,Google,,,, Cook County," Illinois""",41.9898118-87.6551844,0.147365099,0.254654465
41.989848,-87.655729,park,Google,,,, Cook County," Illinois""",41.989848-87.655729,0.147365099,0.254654465
41.982816,-87.655051,cafe,Google,,,, Cook County," Illinois""",41.982816-87.655051,0.075172207,0.140161725
42.016814,-87.662695,park,Google,,,, Cook County," Illinois""",42.016814-87.662695,0.031541067,0.138441998
42.0165745,-87.6625827,park,Google,,,, Cook County," Illinois""",42.0165745-87.6625827,0.031541067,0.138441998
42.015782,-87.662526,park,Google,,,, Cook County," Illinois""",42.015782-87.662526,0.031541067,0.138441998
42.0159558,-87.6625827,park,Google,,,, Cook County," Illinois""",42.0159558-87.6625827,0.031541067,0.138441998
42.0095538,-87.6596543,park,Google,,,, Cook County," Illinois""",42.0095538-87.6596543,0.081167448,0.14955262
42.009554,-87.659654,park,Google,,,, Cook County," Illinois""",42.009554-87.659654,0.081167448,0.14955262
42.013764,-87.662369,school,Google,,,, Cook County," Illinois""",42.013764-87.662369,0.144270404,0.22126958
42.013171,-87.663086,park,Google,,,, Cook County," Illinois""",42.013171-87.663086,0.144270404,0.22126958
42.0131839,-87.6631991,park,Google,,,, Cook County," Illinois""",42.0131839-87.6631991,0.144270404,0.22126958
42.016698,-87.66478,school,Google,,,, Cook County," Illinois""",42.016698-87.66478,0.144270404,0.22126958
42.016135,-87.668172,cafe,Google,,,, Cook County," Illinois""",42.016135-87.668172,0.144270404,0.22126958
42.0147914,-87.6738319,park,Google,,,, Cook County," Illinois""",42.0147914-87.6738319,0.142469996,0.263646922
42.014858,-87.673687,park,Google,,,, Cook County," Illinois""",42.014858-87.673687,0.142469996,0.263646922
42.010651,-87.665693,park,Google,,,, Cook County," Illinois""",42.010651-87.665693,0.087002096,0.217767296
42.009381,-87.665662,school,Google,,,, Cook County," Illinois""",42.009381-87.665662,0.087002096,0.217767296
42.011532,-87.667871,school,Google,,,, Cook County," Illinois""",42.011532-87.667871,0.150158365,0.225453498
42.009319,-87.666368,cafe,Google,,,, Cook County," Illinois""",42.009319-87.666368,0.150158365,0.225453498
42.009754,-87.669502,school,Google,,,, Cook County," Illinois""",42.009754-87.669502,0.150158365,0.225453498
