lat,long,Category,Source,name,website,address,latlong,Youth Count,Youth Impact,Career Impact,Poverty Impact
42.0672988,-88.0485826,Innovation Center,Innovation Center,Motorola Solutions Venture Capital,http://www.motorolasolutions.com/US-EN/About/Company+Overview/Motorola+Solutions+Venture+Capital,1303 East Algonquin Road,42.0672988-88.0485826,329,0.19,0.03,0.15
41.880469,-87.636437,Innovation Center,Innovation Center,Pritzker Group Venture Capital,http://www.pritzkergroup.com/venture-capital/,111 South Wacker Drive,41.880469-87.636437,97,0.02,0.06,0.17
41.8910249,-87.6323588,Innovation Center,Innovation Center,OCA Ventures,http://www.ocaventures.com/,505 N LaSalle Street,41.8910249-87.6323588,97,0.02,0.06,0.17
42.1323611,-87.7877587,Innovation Center,Innovation Center,Origin Ventures,http://www.originventures.com/,1033 Skokie Blvd.,42.1323611-87.7877587,589,0.09,0.14,0.09
42.1497087,-87.8165093,Innovation Center,Innovation Center,Paradigm Group II,http://www.paradigmventure.com/,1535 Lake Cook Rd.,42.1497087-87.8165093,589,0.09,0.14,0.09
41.885537,-87.624987,Innovation Center,Innovation Center,Polestar Capital Partners,http://www.polestarvc.com/,180 North Michigan Avenue,41.885537-87.624987,97,0.02,0.06,0.17
42.106326,-87.778972,Innovation Center,Innovation Center,Red Rocket Venture Partners,http://www.redrocketvc.com/,550 Woodland Ln. S.,42.106326-87.778972,589,0.09,0.07,0.03
41.8859776,-87.6566872,Innovation Center,Innovation Center,Sandbox Industries,http://www.sandboxindustries.com/,213 North Racine,41.8859776-87.6566872,97,0.02,0.06,0.17
41.8859776,-87.6566872,Innovation Center,Innovation Center,Cultivian Sandbox,http://www.sandboxindustries.com/about/cultivian-sandbox/,213 North Racine,41.8859776-87.6566872,97,0.02,0.06,0.17
41.8904448,-87.6246689,Innovation Center,Innovation Center,Second Century Ventures,http://www.secondcenturyventures.com,430 North Michigan Avenue,41.8904448-87.6246689,97,0.02,0.06,0.17
42.194904,-87.855155,Innovation Center,Innovation Center,Seneca Health Partners,http://www.senecapartners.com/,2201 Waukegan Road,42.194904-87.855155,589,0.09,0.14,0.09
41.890345,-87.623333,Innovation Center,Innovation Center,Tribune Company,http://www.tribune.com/,435 North Michigan Avenue,41.890345-87.623333,97,0.02,0.06,0.17
40.093918,-88.2453098,Innovation Center,Innovation Center,Urbana-Champaign Angel Network,http://www.champaigncountyedc.org/business-services/small-business-services/angel-investing,1817 South Neil Street,40.093918-88.2453098,113,0.04,0.01,0.04
42.4032967,-71.273513,Innovation Center,Innovation Center,Battery Ventures,http://www.battery.com/index.html,Reservoir Woods,42.4032967-71.273513,589,0.09,0.14,0.09
39.932391,-86.162898,Innovation Center,Innovation Center,CID Capital‘_,http://www.cidcap.com/pages/venture_overview.asp,201 W. 103rd Street,39.932391-86.162898,113,0.04,0.01,0.04
42.2814109,-83.7488929,Innovation Center,Innovation Center,Chrysalis Ventures,http://www.chrysalisventures.com/,115 West Huron Street,42.2814109-83.7488929,589,0.09,0.14,0.09
29.732679,-95.432611,Innovation Center,Innovation Center,DFJ Mercury,http://www.mercuryfund.com/,One Greenway Plaza,29.732679-95.432611,#N/A,#N/A,#N/A,#N/A
44.972935,-93.4662724,Innovation Center,Innovation Center,El Dorado Ventures,http://www.eldorado.com/,601 Carlson Parkway,44.972935-93.4662724,589,0.09,0.14,0.09
39.1004856,-84.5097536,Innovation Center,Innovation Center,River Cities Capital,http://www.rccf.com/,221 East Fourth Street,39.1004856-84.5097536,727,0.1,0.23,0.13
