,lat,long,category,source
69227,41.81837700000001,-87.61015400000002,park,Google
69239,41.824478000000006,-87.619773,school,Google
69240,41.823889,-87.620006,school,Google
69283,41.8138809,-87.6103068,park,Google
69284,41.814093,-87.608413,school,Google
69290,41.812694,-87.60814,school,Google
69291,41.814024,-87.61032900000002,park,Google
69320,41.806868,-87.606352,hospital,Google
69322,41.806735,-87.60879399999997,school,Google
69341,41.8142,-87.615883,school,Google
69347,41.814099,-87.618143,school,Google
69405,41.8048258,-87.5930226,park,Google
69406,41.805779,-87.590321,library,Google
69408,41.80482,-87.590409,school,Google
69433,41.805034,-87.594216,school,Google
69434,41.805131,-87.592876,park,Google
69439,41.8030673,-87.5943345,park,Google
69440,41.803067,-87.594334,park,Google
69459,41.799636,-87.58904799999998,cafe,Google
69531,41.7983973,-87.59008979999999,park,Google
69532,41.798543,-87.590092,park,Google
69582,41.7973973,-87.5942574,park,Google
69584,41.798276,-87.593117,school,Google
69587,41.797397,-87.594257,park,Google
69590,41.802735,-87.598672,synagogue,Google
69620,41.7964356,-87.6002766,park,Google
69621,41.798651,-87.602419,school,Google
69660,41.796145,-87.59560400000002,school,Google
69669,41.79225570000001,-87.5934856,park,Google
69670,41.79274,-87.594747,school,Google
69673,41.792156,-87.593324,park,Google
69686,41.78800800000001,-87.590962,university,Google
69693,41.78956,-87.59293100000002,university,Google
69694,41.78956,-87.59293100000002,school,Google
69703,41.788502,-87.59225079999999,park,Google
69704,41.787943,-87.59396,school,Google
69706,41.78904,-87.59306,university,Google
69707,41.788493,-87.592112,park,Google
69708,41.789132,-87.595638,university,Google
69710,41.788714,-87.595442,university,Google
69711,41.788591,-87.594512,university,Google
69715,41.79516,-87.596675,cafe,Google
69719,41.795472,-87.598253,university,Google
69720,41.796197,-87.59820500000002,school,Google
69721,41.796197,-87.59820500000002,school,Google
69722,41.795464,-87.598588,library,Google
69729,41.792025,-87.599686,library,Google
69730,41.792001,-87.599686,university,Google
69738,41.7939011,-87.6053691,park,Google
69739,41.7938626,-87.6035173,park,Google
69741,41.794825,-87.60119399999998,university,Google
69742,41.796693,-87.602469,university,Google
69743,41.79404,-87.601127,university,Google
69749,41.791518,-87.597673,school,Google
69750,41.791007,-87.59665,university,Google
69751,41.79197,-87.59666,school,Google
69762,41.789983,-87.59781,library,Google
69763,41.790081,-87.597833,school,Google
69766,41.791882,-87.599939,cafe,Google
69767,41.790881,-87.59944399999998,park,Google
69770,41.790133,-87.598527,library,Google
69771,41.78953,-87.596693,university,Google
69772,41.78969,-87.598003,university,Google
69775,41.789061,-87.600151,university,Google
69776,41.789601,-87.599691,university,Google
69777,41.788993,-87.599165,university,Google
69778,41.788407,-87.598161,university,Google
69779,41.789044,-87.598674,university,Google
69781,41.7896,-87.599574,university,Google
69784,41.78797700000001,-87.599584,library,Google
69785,41.78798,-87.598424,school,Google
69786,41.787996,-87.599621,university,Google
69787,41.787944,-87.600083,university,Google
69788,41.791255,-87.602365,library,Google
69790,41.789545,-87.60128399999998,library,Google
69794,41.791516,-87.602815,university,Google
69795,41.791251,-87.602972,park,Google
69796,41.790457,-87.602542,university,Google
69797,41.790225,-87.602577,library,Google
69802,41.788813,-87.601114,cafe,Google
69803,41.787851,-87.60098599999998,university,Google
69805,41.78915900000001,-87.60394000000002,hospital,Google
69806,41.789432,-87.604271,university,Google
69807,41.789144,-87.604004,university,Google
69809,41.804969,-87.607093,school,Google
69810,41.804478,-87.605327,school,Google
69815,41.8036822,-87.6052148,park,Google
69816,41.7930909,-87.6112325,park,Google
69825,41.803216,-87.60895699999998,school,Google
69828,41.802087,-87.6112,school,Google
69833,41.800149,-87.606599,local_government_office,Google
69838,41.805054,-87.616864,school,Google
69843,41.80558900000001,-87.617272,school,Google
69845,41.802605,-87.613763,hospital,Google
69853,41.80558900000001,-87.620328,school,Google
69864,41.79753400000001,-87.616716,school,Google
69871,41.795052,-87.60594300000002,hospital,Google
69886,41.794075,-87.60521800000002,park,Google
69887,41.793992,-87.611078,park,Google
69889,41.791254,-87.606193,park,Google
69891,41.789765,-87.605501,university,Google
69893,41.791713,-87.606987,library,Google
69894,41.789423,-87.60479699999998,hospital,Google
69897,41.789676,-87.605056,hospital,Google
69907,41.788787,-87.60491999999998,hospital,Google
69914,41.787723,-87.606173,local_government_office,Google
69917,41.793454,-87.615703,park,Google
69955,41.863123,-87.624538,hospital,Google
69959,41.8621644,-87.6261963,park,Google
69972,41.862009,-87.624196,school,Google
69976,41.86128,-87.62565699999998,local_government_office,Google
69977,41.862171,-87.626081,park,Google
69989,41.86231400000001,-87.626427,park,Google
69996,41.8619,-87.627314,school,Google
70002,41.861056,-87.62737800000002,school,Google
70022,41.8571047,-87.6215689,park,Google
70044,41.855458,-87.623856,school,Google
70046,41.856462,-87.62406700000003,library,Google
70059,41.85641,-87.627716,school,Google
70071,41.855788,-87.62727,cafe,Google
70074,41.864407,-87.639884,cafe,Google
70078,41.85783370000001,-87.63437040000002,park,Google
70079,41.857704,-87.633777,park,Google
70130,41.85236,-87.623936,hospital,Google
70135,41.850016,-87.62531,school,Google
70144,41.85305200000001,-87.627317,local_government_office,Google
70149,41.852717,-87.629122,school,Google
70158,41.846564,-87.622796,hospital,Google
70163,41.846249,-87.622541,hospital,Google
70166,41.846946,-87.625874,local_government_office,Google
70173,41.845354,-87.624059,hospital,Google
70175,41.8485953,-87.6289098,park,Google
70178,41.848702,-87.627114,local_government_office,Google
70230,41.853583,-87.633054,cafe,Google
70251,41.853702,-87.633792,hospital,Google
70285,41.850764,-87.631793,school,Google
70292,41.850269,-87.631838,hospital,Google
70316,41.850712,-87.633902,school,Google
70348,41.849929,-87.632067,cafe,Google
70352,41.849442,-87.631823,library,Google
