41.858376,-87.660306,BLUE1647 Tech & Entrepreneurship Incubator
41.888367,-87.635361,Braintree
41.949692,-87.673607,Indie City Coop
41.879749,-87.631523,Killerspin House
41.945435,-87.70652,Pumping Station One: Lounge
41.929661,-87.707481,G-Mart Comics
41.945435,-87.70652,Pumping Station One: Lounge
41.988861,-88.014275,Oracle Corporation
41.896915,-87.643547,Groupon, 3rd floor, Corky Romano
41.888378,-87.636513,1871 Chicago
41.882115,-87.641496,DRW Trading
41.866543,-87.625626,Wabash Tap
41.890671,-87.626999,General Assembly Chicago @ SPACE
41.892361,-87.633217,Vokal
41.878494,-87.62561,DePaul
41.83176,-88.095306,Illinois Institute of Technology - Rice Campus
41.881645,-87.636538,Lloyd's of Chicago
41.881386,-87.63649,Serendipity Labs
0,0,Cohesive 
41.876621,-87.631714,The Option Room
41.883223,-87.628869,Morningstar
41.879395,-87.634193,West Monroe Partners LLC
41.88969,-87.637566,Dev Bootcamp
41.881386,-87.63649,Serendipity Labs
41.888367,-87.635361,Braintree
41.890671,-87.626999,General Assembly at SPACE
41.888367,-87.635361,General Assembly @ 1871
41.888367,-87.635361,Motorola Mobility
42.05117,-88.0317,Intelligence of Schaumburg, 4th Floor Conference Room
41.880333,-87.63147,Chapman and Cutler LLP
41.97505,-87.864456,Cisco Systems Building - SkylineATS
41.87944,-87.63419,West Monroe Partners
41.894623,-87.706474,Chicago Public Library
41.890671,-87.626999,General Assembly Chicago @ SPACE
41.890671,-87.626999,General Assembly Chicago @ SPACE
41.87627,-87.634018,8th Light, Inc.
41.881645,-87.636536,Rise Interactive
41.888687,-87.632652,Wellspring
41.878113,-87.629799,1871
41.88821,-87.635361,1871 
41.890705,-87.625221,Mediafly
41.879795,-87.628922,Sprout Social HQ
41.888367,-87.635361,Braintree Payments
41.925068,-87.688133,Logan Hardware
41.879749,-87.631523,Bank of America Building - 15th Floor
41.876949,-88.066147,Workshop 88
41.89719,-87.635208,Headquarters Beercade River North
41.890671,-87.626999,General Assembly Chicago @ SPACE
41.888367,-87.635361,Startup Institute @ 1871
41.929661,-87.707481,G-Mart Comics
41.889912,-87.637657,Dev Bootcamp
41.945168,-87.706703,Pumping Station: One
41.890671,-87.626999,General Assembly Chicago @ SPACE
41.894596,-87.637268,Green Door Tavern
41.908543,-87.649712,SoNo East
41.858387,-87.660309,Blue 1647 Tech Innovation Center
41.85651,-87.653473,Cultura in Pilsen
42.087402,-87.98288,Arlington Heights Memorial Library
41.881386,-87.63649,Serendipity Labs - OSW
41.88969,-87.637566,Dev Bootcamp
41.88969,-87.637566,Dev Bootcamp
41.942482,-87.702797,Honey Butter Fried Chicken
41.945435,-87.70652,Pumping Station One: Electronics Lab
41.9799,-87.862061,Donald E Stephens Convention Center
41.9799,-87.862061,Donald E Stephens Convention Center
41.896915,-87.643547,Groupon, 3rd floor, Corky Romano
41.888378,-87.636513,1871 Chicago
41.884251,-87.632446,Kensington Rooftop
41.882534,-87.637512,Tech Nexus
41.896988,-87.637161,The Kensington Roof Garden & Lounge
41.896988,-87.63716,The Kensington Roof Garden & Lounge
41.896988,-87.637161,The Kensington Roof Garden & Lounge
41.896988,-87.637161,The Kensington Roof Garden & Lounge
41.896988,-87.637161,The Kensington Roof Garden & Lounge
41.896988,-87.637161,The Kensington Roof Garden & Lounge
41.896988,-87.637161,The Kensington Roof Garden & Lounge
41.896988,-87.637161,The Kensington Roof Garden & Lounge
41.896988,-87.637161,The Kensington Roof Garden & Lounge
41.88969,-87.637566,Dev Bootcamp
41.888378,-87.636513,IMSA Classroom @ 1871
41.884251,-87.632446,Kensington Rooftop
41.793137,-88.010246,Ballydoyle Irish Pub and Restaurant
41.890774,-87.631607,WeWork River North
41.945435,-87.70652,Upstairs of Pumping Station One
0,0,The Microsoft Technology Center Chicago
41.954661,-87.654844,Holiday Club
41.890671,-87.626999,General Assembly Chicago @ SPACE
41.890671,-87.626999,General Assembly Chicago @ SPACE
0,0,General Assembly @ 1871
41.88969,-87.637566,Dev Bootcamp Chicago
42.086433,-87.945351,Workbridge Chicago
41.890884,-87.627182,After-Words Bookstore
41.888367,-87.635361,Windy City Lab @ 1871
41.945292,-87.706675,Pumping Station: One
41.888367,-87.635361,Braintree
0,0,Serendipity Labs, Inc
41.888378,-87.636513,1871 Chicago
41.881386,-87.63649,Serendipity Labs
41.883781,-87.639816,Ovie Bar & Grill
41.883545,-87.639709,Solstice Mobile
41.890671,-87.626999,General Assembly Chicago @ SPACE
41.88821,-87.635361,1871 
42.048618,-87.682022,Panera Bread
41.889629,-87.622307,Gleacher Center
41.917183,-87.68005,The Map Room
41.859455,-88.052841,Cubicle Ninjas
41.927948,-87.705513,New Wave Coffee
